station_id,opis_id,name,address,city,state,rack_id,retail_price,latitude,longitude,location_accuracy,geocode_confidence
69755,69755,PILOT #1082,"I-526, EXIT 19",Charleston,SC,42,3.41566666,32.77657,-79.93092,city,
69758,69758,MAVERIK COUNTRY STORE #537,I-215 EXIT 21,Salt Lake City,UT,835,3.38233333,40.76078,-111.89105,city,
69764,69764,MAVERIK COUNTRY STORE #538,I-15 & SR-99,Fillmore,UT,835,3.38733333,38.980539,-112.331321,city,
69765,69765,7-ELEVEN #40509,I-90/80 EB,Howe,IN,465,3.899,41.728594,-85.472746,city,
69766,69766,Marathon,"I-75, EXIT 99 & SR-119",Anna,OH,411,3.029,40.405105,-84.210344,city,
69770,69770,SASSYS TRUCK STOP,"I-86, EXIT 23 & US-219",Limestone,NY,240,3.159,42.063945,-78.631979,city,
69772,69772,CIRCLE K #2741825,"I-410, EXIT 2 & FM-2536",San Antonio,TX,740,3.099,29.42412,-98.49363,city,
69780,69780,Bolingbrook Mart,"I-55, EXIT 269",Bolingbrook,IL,293,3.639,41.69864,-88.0684,city,
69782,69782,BYRNE DAIRY #14,SR-414 & SR-318,Waterloo,NY,190,3.999,42.904515,-76.875498,city,
69783,69783,SHEETZ #603,"I-78 US-22, EXIT 13 & SR-501",Bethel,PA,208,3.32733333,40.480834,-76.274209,city,
69784,69784,KWIK TRIP #158,US-10 & SR-23,Saint Cloud,MN,451,3.27733333,45.5608,-94.16249,city,
69785,69785,LOVES TRAVEL STOP #662,US-287 & SR-285,Quanah,TX,585,3.849,34.29555,-99.749438,city,
69786,69786,LOVES TRAVEL STOP #671,"I-55, EXIT 63 & US-61",Blytheville,AR,275,3.45566666,35.934482,-89.922497,city,
69787,69787,LOVES TRAVEL STOP #616,"I-49, EXIT 158",Harrisonville,MO,400,3.429,38.64193,-94.32852,city,
69788,69788,LOVES TRAVEL STOP #612,"SR-370, EXIT 9 & SR-141",Bridgeton,MO,540,3.12066666,38.750627,-90.416101,city,
